name,email,phone,telegram,url
RAPID RECRUITMENT ASIA PTE. LTD.,,98999078,,https://www.fastjobs.sg/singapore-job-ad/1969254/perm-retail-associate/rapid-recruitment-asia-pte-ltd/
RAPID RECRUITMENT ASIA PTE. LTD.,,80808750,,https://www.fastjobs.sg/singapore-job-ad/1969723/material-handler-tuas-up-to/rapid-recruitment-asia-pte-ltd/
Rapid Recruitment Asia Pte Ltd,,80446096,"@80446096,@JCKEEEE",https://www.fastjobs.sg/singapore-job-ad/1941257/fast-hire-up5000mth-perm/rapid-recruitment-asia-pte-ltd/
Rapid Recruitment Asia Pte Ltd,,80446096,"@JCKEEE,@80446096,@QUOTE",https://www.fastjobs.sg/singapore-job-ad/1946792/fulltime-auditor-central-area/rapid-recruitment-asia-pte-ltd/
BAN THONG LOGISTIC PTE LTD,,96796869,,https://www.fastjobs.sg/singapore-job-ad/1968766/class-4-driver/ban-thong-logistic-pte-ltd/
SUN CITY MAINTENANCE PTE LTD,,91440052,,https://www.fastjobs.sg/singapore-job-ad/1968760/supervisors-wanted/sun-city-maintenance-pte-ltd/
WEI!CREATIVE,,6588168300,,https://www.fastjobs.sg/singapore-job-ad/1970000/it-product-promoter/weicreative/
UNIVERSAL MOTORS PTE LTD,johnny@umpl.com.sg,,,https://www.fastjobs.sg/singapore-job-ad/1968770/sales-representative/universal-motors-pte-ltd/
YAMARI SINGAPORE PTE LTD,hrm@yamari.com.sg,,,https://www.fastjobs.sg/singapore-job-ad/1968757/senior-sales-coordinatorcoordinator/yamari-singapore-pte-ltd/
Rapid Recruitment Asia Pte Ltd,,6583828862,"@SgJobsFlash,@javierkang",https://www.fastjobs.sg/singapore-job-ad/1929418/13hr-grocery-retail-assistant/rapid-recruitment-asia-pte-ltd/
Adecco Personnel Pte Ltd,,6580286289,,https://www.fastjobs.sg/singapore-job-ad/1928284/register-your-interest-for/adecco-personnel-pte-ltd/
MCI CAREER SERVICES PTE LTD,gisalle@mci.com.sg,69900454,,https://www.fastjobs.sg/singapore-job-ad/1969528/aircraft-trainee-technician-x-15/mci-career-services-pte-ltd/
RecruitFirst Pte Ltd,,"93452858,6593452858",,https://www.fastjobs.sg/singapore-job-ad/1967682/12hmass-hiring-ushers-attraction/recruitfirst-pte-ltd/
FAST CAREER RECRUITMENT PTE. LTD,,6588644338,@ASHL33Y,https://www.fastjobs.sg/singapore-job-ad/1967071/grocery-pickerpacker-up-to/fast-career-recruitment-pte-ltd/
MCI CAREER SERVICES PTE LTD,,69028750,,https://www.fastjobs.sg/singapore-job-ad/1966573/airlines-passenger-service-ticketing/mci-career-services-pte-ltd/
R E & S Enterprises Pte Ltd,,6596837185,,https://www.fastjobs.sg/singapore-job-ad/1971222/shimbashi-soba-service-staff-full/r-e-s-enterprises/
LONDON WEIGHT MANAGEMENT,,6580407276,,https://www.fastjobs.sg/singapore-job-ad/1969638/beauty-consultant-2800/london-weight-management/
RK RECRUITMENT PTE. LTD.,,659428,,https://www.fastjobs.sg/singapore-job-ad/1968968/technician-senior-technician-mhe-service/rk-recruitment-pte-ltd/
JIGGER & PONY PTE. LTD.,,96102219,,https://www.fastjobs.sg/singapore-job-ad/1968746/parttime-fampb-crew-for-jigger/jigger-pony-pte-ltd/
CHARTERHOUSE RESOURCES PTE. LTD.,,6588707976,,https://www.fastjobs.sg/singapore-job-ad/1959660/temp-retail-assistant/charterhouse-resources-pte-ltd/
HEY ROCKET PTE. LTD.,,658042,,https://www.fastjobs.sg/singapore-job-ad/1956395/warehouse-assistant-boon-lay/hey-rocket-pte-ltd/
RecruitFirst Pte Ltd,,"6598311635,98311635",,https://www.fastjobs.sg/singapore-job-ad/1970610/12htemp-govt-customer-service-min/recruitfirst-pte-ltd/
ELITEZ PTE. LTD.,,6597227176,,https://www.fastjobs.sg/singapore-job-ad/1967621/hotel-front-office-executive/elitez-pte-ltd/
FAST CAREER RECRUITMENT PTE. LTD,,92256964,@ScarletCKH,https://www.fastjobs.sg/singapore-job-ad/1964024/up-to-2600-fulltime-cleaner/fast-career-recruitment-pte-ltd/
RecruitFirst Pte Ltd,,82280387,,https://www.fastjobs.sg/singapore-job-ad/1971601/guest-relations-executive-hotel/recruitfirst-pte-ltd/
SWIFT SEARCH GLOBAL PTE. LTD.,,93392324,,https://www.fastjobs.sg/singapore-job-ad/1971564/hr-cum-admin-assistant/swift-search-global-pte-ltd/
I'M KIM KOREAN BBQ,,"6588541006,65",,https://www.fastjobs.sg/singapore-job-ad/1968063/4d-week-dishwasher-16001800-singaporean/im-kim-korean-bbq/
Snek ku Hawker Stall,,91445273,,https://www.fastjobs.sg/singapore-job-ad/1965081/hawker-cook-needed-singaporeans-only/snek-ku-hawker-stall/
ASTONS,,98802865,,https://www.fastjobs.sg/singapore-job-ad/1965954/dishwasher-immediate-vacancies/astons/
FOUR LEAVES PTE. LTD.,,84064306,,https://www.fastjobs.sg/singapore-job-ad/1965365/sales-admin-assistant-part-time/four-leaves-pte-ltd/
RE SUSTAINABILITY CLEANTECH PTE. LTD.,,96144191,,https://www.fastjobs.sg/singapore-job-ad/1963977/cleaning-supervisor-near-woodleigh-mrt/re-sustainability-cleantech-pte-ltd/
RIVERVALE CLINIC PTE. LTD.,sengkangclinic@hotmail.comPlease,,,https://www.fastjobs.sg/singapore-job-ad/1961676/clinic-assistant-for-sengkang/rivervale-clinic-pte-ltd/
CHYE THIAM MAINTENANCE PTE LTD,,88289328,,https://www.fastjobs.sg/singapore-job-ad/1952795/cleanersupervisor-needed-at-sentosa-west/chye-thiam-maintenance-pte-ltd/
 OLD CHANG KEE SINGAPORE PTE. LTD.,,96178009,,https://www.fastjobs.sg/singapore-job-ad/1968602/accounts-assistant/old-chang-kee-singapore/
ALIGN RECRUITMENT PTE. LTD.,stella@alignrecruitment.com.sg,,,https://www.fastjobs.sg/singapore-job-ad/1960134/jap-restaurant-kitchen-service-leadermanagement/align-recruitment-pte-ltd/
S.A.Y. BROTHERS BUILDING SYSTEM PTE LTD,,82889594,,https://www.fastjobs.sg/singapore-job-ad/1971029/part-time-admin-assistant/say-brothers-building-system-pte/
KTSE Holdings,,97113600,,https://www.fastjobs.sg/singapore-job-ad/1966493/part-time-full-time/ktse-holdings/
PAIK's BIBIM,,659129,,https://www.fastjobs.sg/singapore-job-ad/1961656/service-crew-korean-bibimbap/paiks-bibim/
TALENTVIS SINGAPORE PTE. LTD.,,6587481209,,https://www.fastjobs.sg/singapore-job-ad/1970504/concert-event-crew-needed-10hr/talentvis-singapore-pte-ltd/
JOBSTUDIO PTE. LTD.,,64221390,,https://www.fastjobs.sg/singapore-job-ad/1969266/patient-service-associate-clinic/jobstudio-pte-ltd/
MCI CAREER SERVICES PTE LTD,jiunnwei@mci.com.sg,69900462,,https://www.fastjobs.sg/singapore-job-ad/1967379/airport-customer-service-fast-hiring/mci-career-services-pte-ltd/
RecruitFirst Pte Ltd,,93801026,,https://www.fastjobs.sg/singapore-job-ad/1967326/contract-customer-service-agent-1218/recruitfirst-pte-ltd/
BEECRUIT PTE. LTD.,,80407402,,https://www.fastjobs.sg/singapore-job-ad/1963098/looking-for-delivery-driver-%23superclustered/beecruit-pte-ltd/
TALENTVIS SINGAPORE PTE. LTD.,,6596502748,,https://www.fastjobs.sg/singapore-job-ad/1970593/digital-marketing-amp-design-assistant/talentvis-singapore-pte-ltd/
RK RECRUITMENT PTE. LTD.,,659244,,https://www.fastjobs.sg/singapore-job-ad/1971594/front-desk-receptionist5-days-basic/rk-recruitment-pte-ltd/
RK RECRUITMENT PTE. LTD.,,92448165,,https://www.fastjobs.sg/singapore-job-ad/1971592/forklift-driverup-to-2200-55/rk-recruitment-pte-ltd/
MCI CAREER SERVICES PTE LTD,seanliew@mci.com.sg,69900450,,https://www.fastjobs.sg/singapore-job-ad/1971157/contract-warehouse-logistics/mci-career-services-pte-ltd/
Rapid Recruitment Asia Pte Ltd,,96383519,"@sefffffRapid,@sefffff",https://www.fastjobs.sg/singapore-job-ad/1971148/backend-assistant-airport/rapid-recruitment-asia-pte-ltd/
CORESTAFF PTE. LTD.,recruit04@corestaff.com.sg,6569081845,,https://www.fastjobs.sg/singapore-job-ad/1970469/logistics-assistant-government-sector/corestaff-pte-ltd/
Rapid Recruitment Asia Pte Ltd,,81291239,@DerrickpohRapid,https://www.fastjobs.sg/singapore-job-ad/1970143/up24hr-fast-hire/rapid-recruitment-asia-pte-ltd/
MCI CAREER SERVICES PTE LTD,REVEESHAA@MCI.COM.SG,60184671,,https://www.fastjobs.sg/singapore-job-ad/1969458/accounts-executive-east-changi-business/mci-career-services-pte-ltd/
RECRUITPEDIA PTE. LTD.,,84970948,@TEOH,https://www.fastjobs.sg/singapore-job-ad/1968429/urgent-warehouse-packer/recruitpedia-pte-ltd/
TALENTVIS SINGAPORE PTE. LTD.,,6582888509,@estchzx,https://www.fastjobs.sg/singapore-job-ad/1965525/islandwide-japanese-restaurant-service-crew/talentvis-singapore-pte-ltd/
CHARTERHOUSE RESOURCES PTE. LTD.,,88022930,,https://www.fastjobs.sg/singapore-job-ad/1955088/temp-luxury-retail-assistant/charterhouse-resources-pte-ltd/
MTC CONSULTING PTE. LTD.,,68172691,,https://www.fastjobs.sg/singapore-job-ad/1971591/customer-service-officer-gross-2100no/mtc-consulting-pte-ltd/
TALENTVIS SINGAPORE PTE. LTD.,,6588818830,,https://www.fastjobs.sg/singapore-job-ad/1971474/call-centre-officer-central/talentvis-singapore-pte-ltd/
RecruitFirst Pte Ltd,,"96964460,6596964460",,https://www.fastjobs.sg/singapore-job-ad/1966473/flexi-event-crews-choose/recruitfirst-pte-ltd/
FAST CAREER RECRUITMENT PTE. LTD,,88857338,,https://www.fastjobs.sg/singapore-job-ad/1966462/production-quality-checker-woodlands/fast-career-recruitment-pte-ltd/
VICTORIA WORLD ACADEMY PTE. LTD,keyuantan@vwa.edu.sg,,,https://www.fastjobs.sg/singapore-job-ad/1965389/cleaner/victoria-world-academy-pte-ltd/
LONG JOHN SILVER'S,,96494725,,https://www.fastjobs.sg/singapore-job-ad/1965158/hiring-crews-night-shift/long-john-silvers/
MCI CAREER SERVICES PTE LTD,adrian@mci.com.sgBy,69900447,,https://www.fastjobs.sg/singapore-job-ad/1964334/warehouse-driver-up2500/mci-career-services-pte-ltd/
TOASTBOX,,98718015,,https://www.fastjobs.sg/singapore-job-ad/1961284/full-time-service-crewkitchen-crew/toastbox/
MCI CAREER SERVICES PTE LTD,,69028771,,https://www.fastjobs.sg/singapore-job-ad/1970051/3-months-clothes-packer-10/mci-career-services-pte-ltd/
BGC Group Pte Ltd,giovanna.widjaja@bgc-group.com,,,https://www.fastjobs.sg/singapore-job-ad/1969289/shipping-operations-assistant-north/bgc-group-pte-ltd/
MCI CAREER SERVICES PTE LTD,calvinong@mci.com.sgFor,69900449,,https://www.fastjobs.sg/singapore-job-ad/1968436/warehouse-assistant-x15-west5daysoffice-hourawsvb/mci-career-services-pte-ltd/
TAKAGI RAMEN,,92978413,,https://www.fastjobs.sg/singapore-job-ad/1970429/ramen-chef-full-part/takagi-ramen/
SELECT GROUP PTE. LTD.,angie_lee@select.com.sg,86118319,,https://www.fastjobs.sg/singapore-job-ad/1969870/foh-service-executive-full-timepart/select-group-pte-ltd/
SELECT GROUP PTE. LTD.,,86118319,,https://www.fastjobs.sg/singapore-job-ad/1969545/tingkat-sous-chef/select-group-pte-ltd/
GARDEN HOME GIFTS & SOUVENIRS PTE. LTD.,hr@gardenhome.bizOnly,,,https://www.fastjobs.sg/singapore-job-ad/1969541/business-development-manager-sale/garden-home-gifts-souvenirs/
Yew Tree Academy,HappyDays@YewTreeAcademy.Com.Address,,,https://www.fastjobs.sg/singapore-job-ad/1970050/student-care-teacher-singaporeans/yew-tree-academy/
RK RECRUITMENT PTE. LTD.,,658919,,https://www.fastjobs.sg/singapore-job-ad/1969794/logistics-assistant-up-to-2500/rk-recruitment-pte-ltd/
THE SUPREME HR ADVISORY,,83396427,,https://www.fastjobs.sg/singapore-job-ad/1969011/part-time-retail-associate-location/the-supreme-hr-advisory/
PERSOLKELLY Singapore,,67093497,,https://www.fastjobs.sg/singapore-job-ad/1967124/temp-clinic-receptionist-3month/persolkelly-singapore/
Recruit Express Services Pte Ltd,evelynxie@recruitexpress.com.sg,6594360930,@helloevelyn,https://www.fastjobs.sg/singapore-job-ad/1965303/1015hr-16-months-temp/recruit-express-services-pte-ltd/
ESTRON MARKETING PTE. LTD.,account@estron.com.sgFor,,,https://www.fastjobs.sg/singapore-job-ad/1970462/sales-support-assistant-woodlands/estron-marketing-pte-ltd/
PASTAGO PTE. LTD.,,88275340,,https://www.fastjobs.sg/singapore-job-ad/1970336/cashier-for-a-kiosk/pastago-pte-ltd/
CORESTAFF PTE. LTD.,recruit10@corestaff.com.sg,69044531,,https://www.fastjobs.sg/singapore-job-ad/1968223/logistics-warehouse-assistant/corestaff-pte-ltd/
DEAKS PRIVATE LIMITED,,6598596440,,https://www.fastjobs.sg/singapore-job-ad/1967800/premium-server-job-16hr/deaks-private-limited/
 P-SERV,,97776201,,https://www.fastjobs.sg/singapore-job-ad/1967737/customer-service-team-lead/pserv/
EVERGREEN REFUSE DISPOSAL & CLEANING SERVICES PTE LTD,,658341,,https://www.fastjobs.sg/singapore-job-ad/1960439/cleaning-jobs-various-position-available/evergreen-refuse-disposal-cleaning/
TEMP-TEAM PTE LTD,jte@temp-team.com.sgCandy,,,https://www.fastjobs.sg/singapore-job-ad/1971568/air-import-clerk-east/tempteam-pte-ltd/
Swensen's / Earle,,96891872,,https://www.fastjobs.sg/singapore-job-ad/1966100/swensens-part-time-hiring-for/swensens-earle/
CERTIS GROUP,,84986788,,https://www.fastjobs.sg/singapore-job-ad/1939105/enforcement-riders-mobile-duty/certis-group/
TALENT ACE PTE. LTD.,,88109109,,https://www.fastjobs.sg/singapore-job-ad/1971526/packer-north-night/talent-ace-pte-ltd/
COSLAB,ops@coslab.com.sgOnly,,,https://www.fastjobs.sg/singapore-job-ad/1970265/beauty-consultant/coslab/
EMINENCE ORGANIZATION PTE. LTD.,,96712330,@96712330,https://www.fastjobs.sg/singapore-job-ad/1968240/events-sales-coordinator/eminence-organization-pte-ltd/
P-SERV,,81278347,,https://www.fastjobs.sg/singapore-job-ad/1971719/it-tester-amk/pserv/
RAPID RECRUITMENT ASIA PTE. LTD.,,88309481,,https://www.fastjobs.sg/singapore-job-ad/1971705/passenger-services-associate/rapid-recruitment-asia-pte-ltd/
Recruit Express Pte Ltd,jerlinaw@recruitexpress.com.sg,,,https://www.fastjobs.sg/singapore-job-ad/1971122/perm-admin-officer-corporate-office/recruit-express-pte-ltd/
ORIENTAL AVIATION INTERNATIONAL PTE. LTD.,,90368449,,https://www.fastjobs.sg/singapore-job-ad/1969275/patient-service-associate-woodland/oriental-aviation-international-pte-ltd/
RK RECRUITMENT PTE. LTD.,,6588009506,,https://www.fastjobs.sg/singapore-job-ad/1970216/temp-warehouse-packers-3/rk-recruitment-pte-ltd/
RecruitFirst Pte Ltd,,"81112911,20002200",,https://www.fastjobs.sg/singapore-job-ad/1969450/warehouse-packer-2200months-jurong-min/recruitfirst-pte-ltd/
E2E GLOBAL SERVICES PTE. LTD,,84319026,,https://www.fastjobs.sg/singapore-job-ad/1968395/join-direct-as-a/e2e-global-services-pte-ltd/
MCI CAREER SERVICES PTE LTD,haoquan@mci.com.sg,656990,,https://www.fastjobs.sg/singapore-job-ad/1968216/apo-police-officer-up/mci-career-services-pte-ltd/
Recruit Express Pte Ltd,ivy.yong@recruitexpress.com.sgIvy,,,https://www.fastjobs.sg/singapore-job-ad/1968059/temp-admin-assistantlab-assistant-%23hys/recruit-express-pte-ltd/
JIN SCM PTE. LTD.,,93387787,,https://www.fastjobs.sg/singapore-job-ad/1970926/warehouse-assistant-adhoc-basis/jin-scm-pte-ltd/
FAST CAREER RECRUITMENT PTE. LTD,,6582824432,@summergwen,https://www.fastjobs.sg/singapore-job-ad/1970856/perm-clothes-packers-needed/fast-career-recruitment-pte-ltd/
JUST RECRUIT SINGAPORE PTE. LTD,,92335025,,https://www.fastjobs.sg/singapore-job-ad/1948149/security-personnel-required-islandwide/just-recruit-singapore-pte-ltd/
RecruitFirst Pte Ltd,govtedu.fj@recruitfirst.co,86854098,@86854098,https://www.fastjobs.sg/singapore-job-ad/1940038/fun-job-banquet-logistics/recruitfirst-pte-ltd/
RecruitFirst Pte Ltd,,85094878,@ThisYC,https://www.fastjobs.sg/singapore-job-ad/1971845/hr-assistant-10/recruitfirst-pte-ltd/
TEO BOON TRANSPORT PTE LTD,,"97953848,67585382",,https://www.fastjobs.sg/singapore-job-ad/1969738/bus-driver/teo-boon-transport-pte-ltd/
CoffeeSarang,admin@coffeesarang.cafe,,,https://www.fastjobs.sg/singapore-job-ad/1967256/a-barista-with-more-experienced/coffeesarang/
VROOM VROOM OFFICE SERVICES,,90276757,,https://www.fastjobs.sg/singapore-job-ad/1966703/despatch-riders/vroom-vroom-office-services/
HORIZON EVENTS,,83500415,,https://www.fastjobs.sg/singapore-job-ad/1961649/up-to-3kmth-sales-support/horizon-events/
MANFIELD EMPLOYMENT SERVICES PTE LTD,leroy.lok@manfield.com.sgWE,,,https://www.fastjobs.sg/singapore-job-ad/1971861/logistic-supervisor/manfield-employment-services-pte-ltd/
Rapid Recruitment Asia Pte Ltd,,87770627,@wohcirdeRapid,https://www.fastjobs.sg/singapore-job-ad/1971116/permanent-cash-packer-east/rapid-recruitment-asia-pte-ltd/
TALENTVIS SINGAPORE PTE. LTD.,,6564160512,,https://www.fastjobs.sg/singapore-job-ad/1969637/above-28kmth-call-centre/talentvis-singapore-pte-ltd/
CORESTAFF PTE. LTD.,recruit07@corestaff.com.sgEA,,,https://www.fastjobs.sg/singapore-job-ad/1968036/temp-student-careteacher-assistant-islandwide/corestaff-pte-ltd/
Paik’s Noodle,,91292988,,https://www.fastjobs.sg/singapore-job-ad/1967824/diswasher-6-days-work-week/paiks-noodle/
TALENTVIS SINGAPORE PTE. LTD.,,6564160510,,https://www.fastjobs.sg/singapore-job-ad/1964745/temp-warehouse-assistant-afternoon/talentvis-singapore-pte-ltd/
ELITEZ & ASSOCIATES PTE. LTD.,,90122524,,https://www.fastjobs.sg/singapore-job-ad/1966884/long-term-part-time-airport/elitez-associates-pte-ltd/
HaiDiLao Hot Pot,,"67334985,90679607",,https://www.fastjobs.sg/singapore-job-ad/1951885/food-runner-6-days-work/haidilao-hot-pot/
MCI CAREER SERVICES PTE LTD,charice@mci.com.sg,92340662,,https://www.fastjobs.sg/singapore-job-ad/1969480/production-technician-x20-up/mci-career-services-pte-ltd/
Adecco Personnel Pte Ltd (Staffing - Corp Function),eugene.see@adecco.com,,,https://www.fastjobs.sg/singapore-job-ad/1967206/admin-assistant-1800-34months-no/adecco-personnel-pte-ltd-staffing/
TALENTVIS SINGAPORE PTE. LTD.,,6580255743,,https://www.fastjobs.sg/singapore-job-ad/1971623/customer-service-governtment-agency/talentvis-singapore-pte-ltd/
ACHIEVE CAREER CONSULTANT PTE LTD,gareth.lim@achievegroup.asia,659154,,https://www.fastjobs.sg/singapore-job-ad/1970810/finance-executive/achieve-career-consultant-pte-ltd/
Recruit Express Services Pte Ltd,,97125389,,https://www.fastjobs.sg/singapore-job-ad/1969882/boon-laykranji-assembly-technicians/recruit-express-services-pte-ltd/
MTC CONSULTING PTE. LTD.,,6591320093,,https://www.fastjobs.sg/singapore-job-ad/1969150/5star-hotel-guest-service-agent/mtc-consulting-pte-ltd/
TALENTVIS SINGAPORE PTE. LTD.,,6582888509,,https://www.fastjobs.sg/singapore-job-ad/1967524/customer-service-receptionist-east/talentvis-singapore-pte-ltd/
Rapid Recruitment Asia Pte Ltd,,93808752,@choonhao61Rapid,https://www.fastjobs.sg/singapore-job-ad/1958386/hr-recruitment-trainee-paya/rapid-recruitment-asia-pte-ltd/
MCI CAREER SERVICES PTE LTD,kayden@mci.com.sg,656092,,https://www.fastjobs.sg/singapore-job-ad/1970193/temp-3-mths-clothes-packer/mci-career-services-pte-ltd/
Adecco Personnel Pte Ltd,zhicheng.wong@adecco.com,,,https://www.fastjobs.sg/singapore-job-ad/1969209/receptionist-office-hours/adecco-personnel-pte-ltd/
MCI CAREER SERVICES PTE LTD,reveeshaa@mci.com.sg,,,https://www.fastjobs.sg/singapore-job-ad/1970646/electrical-engineer-up-to-3000/mci-career-services-pte-ltd/
TALENTVIS SINGAPORE PTE. LTD.,,"64160520,6564160520",,https://www.fastjobs.sg/singapore-job-ad/1970562/digital-designer-leading/talentvis-singapore-pte-ltd/
RK RECRUITMENT PTE. LTD.,,6592448165,,https://www.fastjobs.sg/singapore-job-ad/1969819/bank-roadshow-promoter-gross-up/rk-recruitment-pte-ltd/
TALENTVIS SINGAPORE PTE. LTD.,,6589507669,,https://www.fastjobs.sg/singapore-job-ad/1969584/cashier-needed-north/talentvis-singapore-pte-ltd/
MCI CAREER SERVICES PTE LTD,,656990,,https://www.fastjobs.sg/singapore-job-ad/1967297/hospital-receptionist-customer-service/mci-career-services-pte-ltd/
ADECCO PERSONNEL PTE LTD,cassie.phee@adecco.com,"90092489,6590092489",,https://www.fastjobs.sg/singapore-job-ad/1966444/warehouse-cum-driver-west/adecco-personnel-pte-ltd/
Adecco Personnel Pte Ltd,,6589070479,,https://www.fastjobs.sg/singapore-job-ad/1962169/team-lead-visitor-services/adecco-personnel-pte-ltd/
P-SERV,jasmine_tay@p-serv.com.sg,,,https://www.fastjobs.sg/singapore-job-ad/1969685/counter-service-associate-earn-up/pserv/
RK RECRUITMENT PTE. LTD.,,658502,,https://www.fastjobs.sg/singapore-job-ad/1969527/temp-packer-x5-10-per/rk-recruitment-pte-ltd/
MCI CAREER SERVICES PTE LTD,NATALYN@MCI.COM.SG,656990,,https://www.fastjobs.sg/singapore-job-ad/1971869/class-3-driver-dispatch/mci-career-services-pte-ltd/
CERTIS GROUP,,91881962,,https://www.fastjobs.sg/singapore-job-ad/1960588/security-officer-education-facility/certis-group/
PREMIER PRESTIGE SINGAPORE,,6597224099,,https://www.fastjobs.sg/singapore-job-ad/1965629/beauty-advisor-no-experience/premier-prestige-singapore/
Gratiae,,6597224484,,https://www.fastjobs.sg/singapore-job-ad/1964245/beautician-multiple-locations/gratiae/
BEAUTY EXPRESS SINGAPORE,angeline.p@shopix.com.sg,6597224099,,https://www.fastjobs.sg/singapore-job-ad/1967383/retail-sales-specialist-east/beauty-express-singapore/
A80 PARIS,yuxuan.t@shopix.com.sg,6597224484,,https://www.fastjobs.sg/singapore-job-ad/1970436/retail-sales-associate-east-north/a80-paris/
ORGLAB PTE. LTD.,yuxuan.t@shopix.com.sg,6597224484,,https://www.fastjobs.sg/singapore-job-ad/1964226/beauty-consultant-5/orglab-pte-ltd/
THE SALT CLINIC,,6597224099,,https://www.fastjobs.sg/singapore-job-ad/1963865/senior-beautician-islandwide-locations/the-salt-clinic/
UNIBOARD PTE. LTD.,,6597224099,,https://www.fastjobs.sg/singapore-job-ad/1966823/beauty-advisors-5-days/uniboard-pte-ltd/
TALENTVIS SINGAPORE PTE. LTD.,,6564160510,@tempNcontract_jobs,https://www.fastjobs.sg/singapore-job-ad/1970557/fulltime-service-technician/talentvis-singapore-pte-ltd/
EQUAL HOUSING,,82266283,,https://www.fastjobs.sg/singapore-job-ad/1969739/parttime-office-adminassistant/equal-housing/
Recruit Express Pte Ltd,kimlow@recruitexpress.com.sgKimmy,6597430026,,https://www.fastjobs.sg/singapore-job-ad/1968570/healthcare-no-need/recruit-express-pte-ltd/
FOCUS NETWORK AGENCIES (SINGAPORE) PTE LTD,,96409311,,https://www.fastjobs.sg/singapore-job-ad/1964597/warehouse-assistant/focus-network-agencies-singapore/
CERTIS GROUP,,96410267,,https://www.fastjobs.sg/singapore-job-ad/1963902/auxiliary-police-officer-enforcement-15000/certis-group/
RAPID RECRUITMENT ASIA PTE. LTD.,,89164361,,https://www.fastjobs.sg/singapore-job-ad/1954855/staffing-executive-jurong-east/rapid-recruitment-asia-pte-ltd/
CHICHA San Chen,,84326524,,https://www.fastjobs.sg/singapore-job-ad/1940280/full-time-bubble-tea-barista/chicha-san-chen/
ALLEY BAR PTE. LTD.,,"93364735,80281033",,https://www.fastjobs.sg/singapore-job-ad/1933601/service-crew-from-2600-to/alley-bar-pte-ltd/
MCI CAREER SERVICES PTE LTD,,69900440,,https://www.fastjobs.sg/singapore-job-ad/1971111/supply-chain-management-executive/mci-career-services-pte-ltd/
RecruitFirst Pte Ltd,,"83815383,6583815383",,https://www.fastjobs.sg/singapore-job-ad/1970378/patient-service-associate-interested/recruitfirst-pte-ltd/
Recruit Express Pte Ltd,cheryl.lee@recruitexpress.com.sgCheryl,,,https://www.fastjobs.sg/singapore-job-ad/1966651/temp-marketing-assistant-immediate-%23nch/recruit-express-pte-ltd/
MTC CONSULTING PTE. LTD.,,658306,,https://www.fastjobs.sg/singapore-job-ad/1968675/urgent-warehouse-assistant-gross/mtc-consulting-pte-ltd/
H PLUS SOLUTIONS PTE. LTD.,,93953431,,https://www.fastjobs.sg/singapore-job-ad/1967744/sembawang-yishun-canbbera/h-plus-solutions-pte-ltd/
ORIENTAL AVIATION INTERNATIONAL PTE. LTD.,,82220210,,https://www.fastjobs.sg/singapore-job-ad/1966818/temp-retail-associates-needed/oriental-aviation-international-pte-ltd/
THE ADVERTISER,,86723220,,https://www.fastjobs.sg/singapore-job-ad/1966709/lorry-delivery-driver/the-advertiser/
MTC CONSULTING PTE. LTD.,shiyun.hew@mtcconsulting.com.sg,659821,,https://www.fastjobs.sg/singapore-job-ad/1966442/maintenance-technician-basic-2500/mtc-consulting-pte-ltd/
